composer_id,name,tradition,song_count,quality_score
Kadalur Subramaniam,Kadalur Subramaniam,,0,1.0
Trichur C. Rajendran,Trichur C. Rajendran,,0,1.0
S. R. Janakiraman,S. R. Janakiraman,,0,1.0
Tanjore Ponniah Pillai,Tanjore Ponniah Pillai,,0,1.0
Muthiah Bhagavathar,Muthiah Bhagavathar,,0,1.0
Kunnakudi Vaidyanathan,Kunnakudi Vaidyanathan,,0,1.0
Thirumular,Thirumular,,0,1.0
Cheyyur Chengalvaraya Sastri,Cheyyur Chengalvaraya Sastri,,0,1.0
Jaffna Veeramani Iyer,Jaffna Veeramani Iyer,,0,1.0
Dasu Sreeramulu,Dasu Sreeramulu,,0,1.0
Pattamadai Krishnayyar,Pattamadai Krishnayyar,,0,1.0
Ambi Dikshitar,Ambi Dikshitar,,0,1.0
Maruthi Prasad,Maruthi Prasad,,0,1.0
Tafe Mahadevan,Tafe Mahadevan,,0,1.0
L. Shankar,L. Shankar,,0,1.0
Shridhara Vittala Dasa,Shridhara Vittala Dasa,,0,1.0
Neyveli Santhanagopalan,Neyveli Santhanagopalan,,0,1.0
Swami Saravana Bhavananda,Swami Saravana Bhavananda,,0,1.0
Tachur Singarachari,Tachur Singarachari,,0,1.0
Paidala Gurumurti Shastri,Paidala Gurumurti Shastri,,0,1.0
Bhadrachala Ramadasu,Bhadrachala Ramadasu,,0,1.0
Manakkal Varadarajan,Manakkal Varadarajan,,0,1.0
Emani Sankara Sastry,Emani Sankara Sastry,,0,1.0
Mahipathi Dasa,Mahipathi Dasa,,0,1.0
Mukku Pulavar,Mukku Pulavar,,0,1.0
Namdev,Namdev,,0,1.0
Melattur Veerabhadrayya,Melattur Veerabhadrayya,,0,1.0
Munipalle Subramanya Kavi,Munipalle Subramanya Kavi,,0,1.0
T. R. Subramaniam,T. R. Subramaniam,,0,1.0
U. Srinivas,U. Srinivas,,0,1.0
M. Sabhapati Shivan,M. Sabhapati Shivan,,0,1.0
Mu Arunachalam Pillai,Mu Arunachalam Pillai,,0,1.0
R. Suryaprakash,R. Suryaprakash,,0,1.0
Sikkil Sisters,Sikkil Sisters,,0,1.0
Sriram Parthasarathy,Sriram Parthasarathy,,0,1.0
Sulochana Natarajan,Sulochana Natarajan,,0,1.0
Pranesh Vittala Dasa,Pranesh Vittala Dasa,,0,1.0
Palghat R. Ramprasad,Palghat R. Ramprasad,,0,1.0
Raghava Ramanuja Dasar,Raghava Ramanuja Dasar,,0,1.0
Ramaswamy Dikshitar,Ramaswamy Dikshitar,,0,1.0
Nookala Chinna Satyanarayana,Nookala Chinna Satyanarayana,,0,1.0
Kunnakudi Krishna Iyer,Kunnakudi Krishna Iyer,,0,1.0
Shadkala Govinda Marar,Shadkala Govinda Marar,,0,1.0
Madurai Mariappa Swamigal,Madurai Mariappa Swamigal,,0,1.0
Surdas,Surdas,,0,1.0
T. V. Sankaranarayanan,T. V. Sankaranarayanan,,0,1.0
Thirupathi Narayanaswamy,Thirupathi Narayanaswamy,,0,1.0
Lalitha Dasa,Lalitha Dasa,,0,1.0
Suchindram S. P. Sivasubramaniam,Suchindram S. P. Sivasubramaniam,,0,1.0
Gopala Dasa,Gopala Dasa,,0,1.0
Kadayanallur S. Venkataraman,Kadayanallur S. Venkataraman,,0,1.0
Ramaswamy Sivan,Ramaswamy Sivan,,0,1.0
Neduntheevu Ponn Suhir,Neduntheevu Ponn Suhir,,0,1.0
Kanthimathi Narayanan,Kanthimathi Narayanan,,0,1.0
Baby Sreeram,Baby Sreeram,,0,1.0
Arulavan,Arulavan,,0,1.0
S. Karthick,S. Karthick,,0,1.0
Chingleput Ranganathan,Chingleput Ranganathan,,0,1.0
Arunachala Kavi,Arunachala Kavi,,0,1.0
Akka Mahadevi,Akka Mahadevi,,0,1.0
Brazil Subramaniam,Brazil Subramaniam,,0,1.0
Kulashekhara Azhwar,Kulashekhara Azhwar,,0,1.0
Ganesh Rajagopalan,Ganesh Rajagopalan,,0,1.0
Mysore Vasudevachar,Mysore Vasudevachar,,0,1.0
Sethu Madhava Rao,Sethu Madhava Rao,,0,1.0
Udumalai Narayana Kavi,Udumalai Narayana Kavi,,0,1.0
Kalyani Varadarajan,Kalyani Varadarajan,,0,1.0
C. Ranga Rao,C. Ranga Rao,,0,1.0
Ku. Sa. Krishnamoorthy,Ku. Sa. Krishnamoorthy,,0,1.0
Meera Bhai,Meera Bhai,,0,1.0
Saravanananda Swami,Saravanananda Swami,,0,1.0
Bangalore S. Mukund,Bangalore S. Mukund,,0,1.0
Walajapet Venkataramana Bhagavatar,Walajapet Venkataramana Bhagavatar,,0,1.0
Mysore Nagamani Srinath,Mysore Nagamani Srinath,,0,1.0
T. K. Rangachari,T. K. Rangachari,,0,1.0
Nanduri Venkatasubbarao,Nanduri Venkatasubbarao,,0,1.0
Irayimman Thambi,Irayimman Thambi,,0,1.0
T. K. Govindarao,T. K. Govindarao,,0,1.0
Sadasiva Brahmendra,Sadasiva Brahmendra,,0,1.0
Talapakkam Chinnaya,Talapakkam Chinnaya,,0,1.0
Mallekonda Ramadasa,Mallekonda Ramadasa,,0,1.0
Venkatadri Swamy,Venkatadri Swamy,,0,1.0
Madurai Somu,Madurai Somu,,0,1.0
Subramanya Bharathi,Subramanya Bharathi,,0,1.0
Veena Kuppaiyer,Veena Kuppaiyer,,0,1.0
Tiger Varadachariar,Tiger Varadachariar,,0,1.0
Sathanur V. Parthasarathy,Sathanur V. Parthasarathy,,0,1.0
Sriranjani Santhanagopalan,Sriranjani Santhanagopalan,,0,1.0
Thiruvottiyur Thyagayya,Thiruvottiyur Thyagayya,,0,1.0
Bangalore Nagaraj,Bangalore Nagaraj,,0,1.0
Lalgudi Vijayalakshmi,Lalgudi Vijayalakshmi,,0,1.0
Mayavaram Vedanayagam Pillai,Mayavaram Vedanayagam Pillai,,0,1.0
K. S. Raghunathan,K. S. Raghunathan,,0,1.0
Bharathi Dasan,Bharathi Dasan,,0,1.0
Manavala Munigal,Manavala Munigal,,0,1.0
Walajapet Krishnaswamy,Walajapet Krishnaswamy,,0,1.0
Dharmapuri Subbarayar,Dharmapuri Subbarayar,,0,1.0
Chitravina Ravikiran,Chitravina Ravikiran,,0,1.0
Sitharama Sastri,Sitharama Sastri,,0,1.0
