name,song_count,total_views,tradition,file_path
Kamal Sabri,412,1165365,Hindustani,Hindustani/artist/Kamal Sabri.json
Balwant Rai Bhatt,81,42755,Hindustani,Hindustani/artist/Balwant Rai Bhatt.json
Firoz Dastur,161,112568,Hindustani,Hindustani/artist/Firoz Dastur.json
Atindra Sarvadikar,117,94767,Hindustani,Hindustani/artist/Atindra Sarvadikar.json
Zakir Hussain,3445,155865544,Hindustani,Hindustani/artist/Zakir Hussain.json
Milind Chittal,279,291671,Hindustani,Hindustani/artist/Milind Chittal.json
Ashwin Batish,130,1339063,Hindustani,Hindustani/artist/Ashwin Batish.json
Ruchira Panda,151,175251,Hindustani,Hindustani/artist/Ruchira Panda.json
Prasad Bhandarkar,26,49796,Hindustani,Hindustani/artist/Prasad Bhandarkar.json
Ummeed Ali Khan,120,113579,Hindustani,Hindustani/artist/Ummeed Ali Khan.json
Tejendra Majumdar,308,626316,Hindustani,Hindustani/artist/Tejendra Majumdar.json
Milind Malshe,48,215486,Hindustani,Hindustani/artist/Milind Malshe.json
Chhote Rahimat Khan,51,42047,Hindustani,Hindustani/artist/Chhote Rahimat Khan.json
Vinayak Vora,58,22917,Hindustani,Hindustani/artist/Vinayak Vora.json
Ghulam Niyaz Khan,27,24495,Hindustani,Hindustani/artist/Ghulam Niyaz Khan.json
Kala Ramnath,577,3177008,Hindustani,Hindustani/artist/Kala Ramnath.json
Amaan Ali Khan,641,9144296,Hindustani,Hindustani/artist/Amaan Ali Khan.json
Bapu Padmanabha,494,1749721,Hindustani,Hindustani/artist/Bapu Padmanabha.json
Shounak Abhisheki,303,2535739,Hindustani,Hindustani/artist/Shounak Abhisheki.json
Vishwanath Rao Ringe,19,30614,Hindustani,Hindustani/artist/Vishwanath Rao Ringe.json
S. C. R. Bhat,9,5623,Hindustani,Hindustani/artist/S. C. R. Bhat.json
Prabhudev Sardar,49,32564,Hindustani,Hindustani/artist/Prabhudev Sardar.json
Ajoy Chakrabarty,2528,35738576,Hindustani,Hindustani/artist/Ajoy Chakrabarty.json
Manohar Chimote,46,49794,Hindustani,Hindustani/artist/Manohar Chimote.json
Padma Talwalkar,360,892545,Hindustani,Hindustani/artist/Padma Talwalkar.json
